位号,角色,数量,类别,功能,默认装配,型号,LCSC编码,嘉立创分类(缓存快照),库存(缓存快照),封装,关键参数,参数来源,选用理由 / 不推荐理由,假设编号
J3,备选2,-,连接器,,,直焊焊盘 + 电池引线,待检索,-,-,-,-,-,不推荐：电池不可更换、维修与运输拆装困难,
U_PROT,基线,1,IC 电池保护,单节锂电保护（过充/过放/过流）,装,DW01A 类,待检索,-,-,SOT-23-6,阈值未核；引脚号未核,待原厂数据手册核对,与 Q_PROT 组成第二道保护。**引脚号与 R_PROT/R_CS 取值布局前必须关闭**,AS-31-dock-20
U_PROT,备选1,-,IC 电池保护,,,单芯片带内置 MOS 的保护 IC,待检索,-,-,DFN,-,待原厂数据手册核对,备选：省一颗料，但内阻通常更高，需按 2 A 峰值重算压降与发热,
U_PROT,备选2,-,IC 电池保护,,,不装板上保护，改用电池包自带 PCM（装 R_PROT_BYP）,待检索,-,-,-,-,-,取决于 AS-12：若电池包确认自带 PCM，这是更省且内阻更低的方案，与 POWER_TOPOLOGY 第 2.3 节一致,
Q_PROT,基线,1,MOSFET,背靠背双 N-MOS，串在 B− 与 DOCK_GND 之间,装,FS8205A 类,待检索,-,-,SOT-23-6,RDS(on)、ID 未核；引脚号未核,待原厂数据手册核对,**U_PROT 过流检测阈值必须 > 2.0 A**，否则会在 POWER_BUDGET 第 3.1 节的 1.97 A 峰值误切（选型硬门槛）,AS-31-dock-20
R_PROT,基线,1,电阻,U_PROT 供电限流 VBAT → PROT_VCC,装,0603WAF3300T5E,C23138,Basic Part,359100,R0603,330 Ω ±1 %,缓存库 JSON,阻值为通用应用电路提案，待所选保护 IC 数据手册核对,AS-31-dock-20
C_PROT,基线,1,电容,U_PROT 电源去耦,装,CL10B104KB8NNNC,C1591,Extended Part,5799850,C0603,100 nF X7R 50 V,缓存库 JSON,通用去耦,
R_CS,基线,1,电阻,U_PROT CS 取样串阻 → DOCK_GND,装,2 kΩ ±1 % 0603,待检索,-,-,R0603,2 kΩ,待原厂数据手册核对,阻值为通用应用电路提案，待数据手册核对,AS-31-dock-20
R_PROT_BYP,基线,1,电阻,0 Ω 旁路：B− 直连 DOCK_GND,DNP,0 Ω 1206,待检索,-,-,R1206,0R，≥2 A,待检索,仅当确认电池包自带 PCM 且 DNP 掉 U_PROT/Q_PROT 时装,AS-31-dock-6
U_UV,基线,1,IC 电压检测,VSYS 低压关断（3.0 V）→ BOOST_EN,装,3.0 V 检测器 SOT-23-3（型号待选）,待检索,-,-,SOT-23-3,阈值精度、迟滞、IQ、引脚顺序全部未核,待原厂数据手册核对,本网表用功能针名 VDD/GND/OUT；**引脚号布局前必须关闭**,AS-31-dock-10/22
U_UV,备选1,-,IC 电压检测,,,TPS3839 系列（TI，IQ 150 nA 级）,待检索,-,-,SC-70/SOT-23,-,待原厂数据手册核对,候选首选：IQ 低，符合 POWER_BUDGET 第 5.1 节 0.3 mA 待机预算；LCSC 编码待检索,
U_UV,备选2,-,IC 电压检测,,,XC6136 / MCP1xx 类检测器,待检索,-,-,SOT-23-3,-,待原厂数据手册核对,备选：阈值档与迟滞差异大，逐个核对数据手册后才可选,
U_UV,备选3,-,IC 电压检测,,,TL431 + 电阻自搭,待检索,-,-,SOT-23,-,待原厂数据手册核对,不推荐：IQ 达 mA 级，与 0.3 mA 待机预算冲突（待机天数从 190 天掉到十几天）,
C_UV,基线,1,电容,U_UV 去耦,装,CL10B104KB8NNNC,C1591,Extended Part,5799850,C0603,100 nF X7R 50 V,缓存库 JSON,通用去耦,
R_EN,基线,1,电阻,U_UV.OUT → BOOST_EN 串阻；隔离 SW_DOCK 的拉低,装,0603WAF1003T5E,C25803,Basic Part,7028700,R0603,100 kΩ ±1 %,缓存库 JSON,100 kΩ 使常闭开关能把推挽输出拉低而不过流,
SW_DOCK,基线,1,开关,机械到位联锁（常闭触点）,DNP,微动开关（型号待定）,待检索,-,-,微动开关,触点形式、行程、寿命未核,待原厂数据手册核对,默认不装，以满足 G6-A2「不接 Mosaico 时 DOCK_5V 即有输出」；是否装配由 Chrome 在 G6-G 后定,
U_BOOST,基线,1,IC 升压,VSYS → BOOST_5V 5.10 V,装,TPS61023DRLR,C919459,Extended Part,快照无库存字段,SOT-563,VIN 0.5–5.5 V；谷值限流 3.7 A typ(2.7 min)；VREF 595 mV；OVP 5.7 V typ；关断真断开,原厂数据手册(已打开),「关断即输入输出真断开」是 EL-D-08 第 3 节 (b) 反灌论证的一环，非同步升压做不到,AS-31-dock-1
U_BOOST,备选1,-,IC 升压,,,TPS61022（8 A 级同步升压）,待检索,-,-,QFN,-,原厂数据手册(已打开),不推荐：电流能力远超 AS-09 需求，封装与电感更大，挤占握把空间,
U_BOOST,备选2,-,IC 升压,,,MT3608 类非同步升压,待检索,-,-,SOT-23-6,-,待原厂数据手册核对,不推荐：非同步，关断时输入经电感与肖特基直通到输出，破坏「关断即断开」的反灌论证,
L1,基线,1,电感,升压电感,装,1.0 µH，Isat ≥4.5 A，DCR ≤30 mΩ（型号待检索）,待检索,-,-,约 4×4 mm 屏蔽功率电感,Isat 需覆盖 POWER_BUDGET 第 3.2 节的 4.3 A 限流峰值,待原厂数据手册核对,感值由数据手册允许区间 0.37–2.9 µH 取 1.0 µH,AS-31-dock-18
L1,备选1,-,电感,,,FTC201610S1R0MBCA（1.0 µH，2.0×1.6 mm）,C5832342,Extended Part,快照无库存字段,IND-SMD 2.0×1.6,1.0 µH,缓存库 JSON,不推荐为基线：该尺寸在 1 µH 下饱和电流通常 ≤3 A，低于所需 4.5 A；除非原厂数据手册证明否则不用,AS-31-dock-18
C_BST_IN,基线,1,电容,升压输入电容（并联在 VSYS）,装,10 µF X5R 25 V 0805,待检索,-,-,C0805,10 µF ±20 % 25 V,待检索,数据手册建议值,
C_BST_OUT1,基线,1,电容,升压输出电容 1/2,装,CL21A226MAQNNNE,C45783,Basic Part,378170,C0805,22 µF 25 V,缓存库 JSON,两只并联按 ≥20 µF 有效值选（直流偏压衰减）,
C_BST_OUT2,基线,1,电容,升压输出电容 2/2,装,CL21A226MAQNNNE,C45783,Basic Part,378170,C0805,22 µF 25 V,缓存库 JSON,同上,
R_FB1,基线,1,电阻,反馈上分压 BOOST_5V → BOOST_FB,装,909 kΩ ±1 % 0603（E96）,待检索,-,-,R0603,VOUT = 0.595 ×(1+R_FB1/R_FB2) = 5.10 V,原厂数据手册(已打开),若 G6-A7 表明主机需更高电压，只改此件：768 kΩ→5.16 V，750 kΩ→5.06 V,AS-31-dock-1
R_FB2,基线,1,电阻,反馈下分压 BOOST_FB → DOCK_GND,装,120 kΩ ±1 % 0603,待检索,-,-,R0603,120 kΩ；< 300 kΩ 满足数据手册 8.2.2.1,原厂数据手册(已打开),与 R_FB1 配对,AS-31-dock-1
C_FF,基线,1,电容,反馈前馈电容位,DNP,10 pF 0603（待定）,待检索,-,-,C0603,10 pF,待原厂数据手册核对,是否需要待 TPS61023 数据手册 8.2.2 与实测环路决定,
U_LIM,基线,1,IC 限流开关,BOOST_5V → LIM_5V 限流/短路/过热/反向,装,TPS2553DBVR（恒流型）,C55266,Extended Part,139033,SOT-23-6,2.5–6.5 V；连续 1.5 A；rDS 85 mΩ typ；软启动 0.7–1.5 ms；反向 135 mV/4 ms 关断；155 °C 自恢复,原厂数据手册(已打开),恒流型（非锁死）：无 MCU 的底座过流后能自动恢复,AS-31-dock-2
U_LIM,备选1,-,IC 限流开关,,,TPS2553-1（锁死型）,-,-,-,SOT-23-6,-,原厂数据手册(已打开),不推荐：过流后需断电或翻转 EN 才恢复；底座无 MCU、默认无 SW_DOCK，用户只能拔 USB 或等电池耗尽,
U_LIM,备选2,-,IC 限流开关,,,TPS2557 / TPS25200 类,待检索,-,-,SOT-23-6/SON,-,待原厂数据手册核对,缺料替代；限流档与 RILIM 公式不同，换型必须重算 TH-03,
U_LIM,备选3,-,IC 限流开关,,,PPTC 自恢复保险丝替代,待检索,-,-,1206,-,待原厂数据手册核对,不推荐：无反向电压保护、恢复需数十秒、无故障指示，且触发电流随温度漂移,
R_EN_LIM,基线,1,电阻,U_LIM.EN 上拉到 BOOST_5V,装,0603WAF1003T5E,C25803,Basic Part,7028700,R0603,100 kΩ ±1 %,缓存库 JSON,使能唯一来源是升压输出本身，不含任何主机信号,
R_ILIM_OUT,基线,1,电阻,输出限流设定,装,19.6 kΩ ±1 % 0603（E96）,待检索,-,-,R0603,IOS = 23950/R^0.977 → 1215/1308/1415 mA,原厂数据手册(已打开),覆盖 AS-09 峰值 1 A 并留约 20 % 裕量；1.0 A 档换 26.1 kΩ。TH-03 正式值待 Chrome 定义,AS-31-dock-2
C_LIM_IN,基线,1,电容,U_LIM 输入旁路（靠近 IN）,装,CL10B104KB8NNNC,C1591,Extended Part,5799850,C0603,100 nF X7R 50 V,缓存库 JSON,数据手册建议值,
R_FLT,基线,1,电阻,LED_FLT 限流,装,0603WAF4701T5E,C23162,Basic Part,1074100,R0603,4.7 kΩ ±1 %,缓存库 JSON,故障灯约 0.5 mA,
LED_FLT,基线,1,LED,过流/反向故障指示（红）,装,0603 红,待检索,-,-,LED0603,Vf 未核,待原厂数据手册核对,只在故障时亮,
U_RB,基线,1,IC 理想二极管,LIM_5V → DOCK_5V 反向电流阻断,装,LM66100DCKR,C2869734,Extended Part,快照无库存字段,SC-70-6,1.5–5.5 V；1.5 A；RON 79 mΩ typ(110 max)；IQ 150 nA；VOUT−VIN>35 mV typ 关断；反向漏电 ≤5.1 µA max,原厂数据手册(已打开),CE 接 VOUT 是数据手册明示的反向电流保护接法；µs 级关断，先于 U_LIM 的 4 ms 窗口动作,AS-11
U_RB,备选1,-,防反灌,,,肖特基 SS34 串在输出,待检索,-,-,SMA,Vf 0.3–0.5 V,待原厂数据手册核对,不推荐：压降随电流变化，DOCK_5V 负载调整率差，而 pin17 输入窗口 unknown（AS-10）,
U_RB,备选2,-,防反灌,,,P-MOS + 比较器自搭理想二极管,待检索,-,-,分立,-,待原厂数据手册核对,不推荐：器件数多、阈值与关断时间需自行设计验证，没有数据手册保证值可写进论证,
U_RB,备选3,-,防反灌,,,DNP U_RB、桥接 R_BYP，只靠 U_LIM 单级,待检索,-,-,-,-,原厂数据手册(已打开),不推荐（默认）：U_LIM 的反向阈值 135 mV、去抖 4 ms；AS-11 未关闭前不愿只留一级。复核后可简化,
R_BYP,基线,1,电阻,0 Ω 旁路 U_RB 的 VIN–VOUT,DNP,0 Ω 1206,待检索,-,-,R1206,0R，≥1.5 A,待检索,仅当 Chrome 复核判定单级反向保护足够时装,
C_DOCK,基线,1,电容,DOCK_5V 输出电容（**故意只 1 µF**）,装,CL10A105KB8NNNC,C15849,Basic Part,123450,C0603,1 µF 50 V（缓存件为 X5R）,缓存库 JSON,大电容留在 BOOST_5V 侧，减小热插拔瞬间向主机输入电容倾泻的电荷（AS-19）,AS-19
D2,基线,1,保护,DOCK_5V 对 DOCK_GND 双向 TVS,装,5 V 级双向 TVS,待检索,-,-,SOD-323,VRWM 5 V；VC/IPP/结电容未核,待原厂数据手册核对,保护暴露在外的弹簧针,
R_LED_OUT,基线,1,电阻,LED_OUT 限流,装,0603WAF4701T5E,C23162,Basic Part,1074100,R0603,4.7 kΩ ±1 %,缓存库 JSON,LED 约 0.5 mA；量产可断 JP_LED 省电,AS-31-dock-9
LED_OUT,基线,1,LED,DOCK_5V 有输出指示（蓝/白）,装,0603 蓝或白,待检索,-,-,LED0603,Vf 未核,待原厂数据手册核对,G6-A2「指示灯真值」用,AS-31-dock-9
LED_OUT,备选1,-,LED,,,KT-0603W（0603 白）,C2290,Basic Part,0（快照）,LED0603,0603,缓存库 JSON,缓存快照库存 0；下单前重核,AS-31-dock-28
JP_LED,基线,1,焊桥,串在 LED_OUT 回路，默认闭合,装,PCB 焊盘（无需采购）,-,-,-,SolderJumper-2pad,-,-,断开可省 ≈0.5 mA（待机 44 天 → 190 天，POWER_BUDGET 第 5.1 节）,AS-31-dock-9
J2,基线,1,连接器 弹簧针,底座↔模块板 2 行 × 8 列 @2.54 mm，针尖朝 +Y,装,2×8 2.54 mm 弹簧针（型号未选定）,待检索,-,-,POGO-2x8-P2.54,单针额定电流、工作行程、接触电阻、插拔寿命全部未核,待原厂数据手册核对,**本次未检索到可确认的嘉立创常备 2×8 2.54 mm 弹簧针连接器编码**；见下方三个候选类别,AS-26/AS-31-dock-25
J2,备选1,-,连接器 弹簧针,,,整体式 2×8 2.54 mm 弹簧针连接器（Mill-Max 0906/0908 类组阵或国产同类）,待检索,-,-,2×8 P2.54,-,待原厂数据手册核对,定位精度最好；但进口件嘉立创多无常备、交期长、单价高，需先确认可采购（AS-27）,AS-27
J2,备选2,-,连接器 弹簧针,,,2.54 mm 单排 1×8 弹簧针条 ×2 并排,待检索,-,-,1×8 P2.54 ×2,-,待原厂数据手册核对,推荐作为首版：是唯一能让列 2 单独用行程更长针型（地先接触，AS-31-dock-8）的现成做法；代价是两条之间的行距公差叠加，对 DOCK_Z_TOL 不利,AS-31-dock-8
J2,备选3,-,连接器 弹簧针,,,P75/P100 类测试探针逐针压入,待检索,-,-,单针,-,待原厂数据手册核对,不推荐：测试探针按低插拔次数与测试载流设计，日常插拔寿命（TH-09 草案 N=50 起）与接触电阻不保证,
SW_UP,基线,1,开关,无源轻触开关 KEY_UP → DOCK_GND（J2.A3 / H2-1 / GPIO55）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_DOWN,基线,1,开关,无源轻触开关 KEY_DOWN → DOCK_GND（J2.B3 / H2-3 / GPIO19）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_LEFT,基线,1,开关,无源轻触开关 KEY_LEFT → DOCK_GND（J2.A4 / H2-5 / GPIO18）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_RIGHT,基线,1,开关,无源轻触开关 KEY_RIGHT → DOCK_GND（J2.B4 / H2-7 / GPIO17）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_L,基线,1,开关,无源轻触开关 KEY_L → DOCK_GND（J2.A5 / H2-9 / GPIO16）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_R,基线,1,开关,无源轻触开关 KEY_R → DOCK_GND（J2.B5 / H2-11 / GPIO15）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_A,基线,1,开关,无源轻触开关 KEY_A → DOCK_GND（J2.A6 / H2-2 / GPIO53）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_B,基线,1,开关,无源轻触开关 KEY_B → DOCK_GND（J2.B6 / H2-4 / GPIO48）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_X,基线,1,开关,无源轻触开关 KEY_X → DOCK_GND（J2.A7 / H2-6 / GPIO13）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_Y,基线,1,开关,无源轻触开关 KEY_Y → DOCK_GND（J2.B7 / H2-8 / GPIO12）,装,TS-1088-AR02016,C720477,Basic Part,0（快照）,SW-SMD 3.9×3.0 mm,行程、操作力、寿命未核,缓存库 JSON / 待原厂数据手册核对,2 端 SMD 轻触开关；缓存快照库存 0，下单前重核；手感由 G6-D6 主观评分决定是否换型,AS-31-dock-24/28
SW_UP,备选1,-,开关,,,TS-1187 / K2-1187 类 4 脚 SMD 轻触开关,待检索,-,-,SW-SMD 4 脚,-,待原厂数据手册核对,备选（10 只同型）：4 脚固定更牢，但封装与按帽高度需与 mech-dock 一起定,
SW_UP,备选2,-,开关,,,带硅胶按帽的按键组件,待检索,-,-,-,-,待原厂数据手册核对,备选：D-pad 与 ABXY 手感更接近市售产品，由 mech-dock 与 G6-D6 决定,
U_FG,基线,1,IC 电量计,可选单节电池电量计（I²C）,DNP,MAX17048G+T10,C2682616,Extended Part,快照无库存字段,TDFN-8 2×2 + EP,7 位地址 0x36 未核；CTG/QSTRT 接法未核,缓存库 JSON / 待原厂数据手册核对,默认不装：EL-D-10 要求先审核其未上电时 SDA/SCL 的 Ioff；且模块板 R_LINK 亦默认 DNP。地址必须 ≠0x50/0x51,AS-31-dock-26
U_FG,备选1,-,IC 电量计,,,BQ27441,待检索,-,-,DFN,地址 0x55,待原厂数据手册核对,不推荐：0x55 与 ICD 第 6 节列出的 V1.0 主板器件地址重叠（提案跨版本避让），且需下载配置文件,
U_FG,备选2,-,IC 电量计,,,不装（默认）,-,-,-,-,-,-,AS-08 一级机械防呆未关闭前，装 R_LINK 会让 180° 错放从无损变为有损（模块板 PINMAP 第 4.3 节）,
R_FG,基线,1,电阻,U_FG 供电串阻 VBAT → FG_VDD,DNP,1 kΩ ±1 % 0603,待检索,-,-,R0603,1 kΩ,待原厂数据手册核对,阻值待 MAX17048 应用电路核对,AS-31-dock-26
C_FG,基线,1,电容,U_FG 去耦,DNP,CL10B104KB8NNNC,C1591,Extended Part,5799850,C0603,100 nF X7R 50 V,缓存库 JSON,通用去耦,
TP_VBUS,基线,1,测试点,测试点 VBUS_IN,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
TP_VSYS,基线,1,测试点,测试点 VSYS,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
TP_VBAT,基线,1,测试点,测试点 VBAT,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
TP_BOOST,基线,1,测试点,测试点 BOOST_5V,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
TP_LIM,基线,1,测试点,测试点 LIM_5V,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
TP_DOCK5V,基线,1,测试点,测试点 DOCK_5V,装,PCB 焊盘（无需采购）,-,-,-,Ø1.5–2.0 mm SMD 圆焊盘,-,-,位置与丝印由布局阶段定；G6 全程只在测试点上测电压，严禁带电测电阻,
