Designator,Value,LCSC,Footprint,Geometry status,Notes
U3,TPS61023DRLR,C919459,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,Supplier library geometry; final manufacturer audit pending,"Nominal 4.992V; tolerances, ripple and downstream voltage drop require bench validation"
L1,1uH 4.6A Isat,C5832342,IND-SMD_L2.0-W1.6-B,Supplier library geometry; final manufacturer audit pending,
SW12,DOCK POWER,C431540,SW-TH_MSK12C02,Supplier library geometry; final manufacturer audit pending,Mechanical slide pin map must be checked against exact part drawing
R25,100k 1%,C25803,R0603,Supplier library geometry; final manufacturer audit pending,
R26,732k 1%,C23239,R0603,Locally drawn placeholder; library/land-pattern verification required [UNRESOLVED via --allow-missing],
R27,100k 1%,C25803,R0603,Supplier library geometry; final manufacturer audit pending,
U8,TPS2553DBVR,C55266,SOT-23-6_L2.9-W1.6-P0.95-LS2.8,Supplier library geometry; final manufacturer audit pending,"26.1k gives approx. 0.91-1.08A current limit (TI table); constant-current version, not -1"
R28,26.1k 1%,,R0603,Locally drawn placeholder; library/land-pattern verification required,Exact LCSC procurement code pending
U4,LM66100DCKR,C2869734,SC-70-6_L2.0-W1.3-P0.65-LS2.1-BL,Supplier library geometry; final manufacturer audit pending,CE tied to VOUT is required for reverse-current blocking
U5,TLV75533PDBVR,C404027,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,Supplier library geometry; final manufacturer audit pending,Dock logic supply; does not use Pogo positive as a 3.3V rail
C6,10uF 25V X5R,C96446,C0603,Supplier library geometry; final manufacturer audit pending,
C7,22uF 25V X5R,C45783,C0805,Supplier library geometry; final manufacturer audit pending,
C8,22uF 25V X5R,C45783,C0805,Supplier library geometry; final manufacturer audit pending,
C9,100nF 50V X7R,C1591,C0603,Supplier library geometry; final manufacturer audit pending,
C10,1uF 50V X5R,C15849,C0603,Supplier library geometry; final manufacturer audit pending,
C11,1uF 50V X5R,C15849,C0603,Supplier library geometry; final manufacturer audit pending,
C12,1uF 50V X5R,C15849,C0603,Supplier library geometry; final manufacturer audit pending,
C13,1uF 50V X5R,C15849,C0603,Supplier library geometry; final manufacturer audit pending,
U6,TCA9517DGKR,C544515,VSSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,Supplier library geometry; final manufacturer audit pending,A side to Mosaico; B side to dock. NO dock-powered pullups on HOST_SDA/HOST_SCL.
R29,4.7k 1%,C23162,R0603,Supplier library geometry; final manufacturer audit pending,
R30,4.7k 1%,C23162,R0603,Supplier library geometry; final manufacturer audit pending,
C14,100nF 50V X7R,C1591,C0603,Supplier library geometry; final manufacturer audit pending,
C15,100nF 50V X7R,C1591,C0603,Supplier library geometry; final manufacturer audit pending,
U7,MAX17048G+T10,C2682616,TDFN-8_L2.0-W2.0-P0.50-BL-EP1.2,Supplier library geometry; final manufacturer audit pending,"7-bit address 0x36; measures dock battery, not Mosaico internal battery"
C16,100nF 50V X7R,C1591,C0603,Supplier library geometry; final manufacturer audit pending,
J3,POGO INTERFACE - GEOMETRY TBD,,POGO_GEOMETRY_UNVERIFIED,Locally drawn placeholder; library/land-pattern verification required,"2.54mm pitch is a placeholder, NOT a released dimension. Replace with verified drawing before routing."
TP1,GND,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP2,USB_5V,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP3,PACK_P,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP4,SYS_RAW,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP5,BOOST_5V,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP6,POGO_5V,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP7,DOCK_3V3,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP8,HOST_SDA,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP9,HOST_SCL,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP10,DOCK_SDA,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP11,DOCK_SCL,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
TP12,IO_INT_N,,TESTPAD_1.0mm,Locally drawn placeholder; library/land-pattern verification required,
